Vietnamese,English,Vietnamese_Sentence,English_Sentence
cây trồng,crop,Nông dân đang thu hoạch cây trồng của họ.,The farmer is harvesting his crop.
hiện đại,modern,Ngôi nhà này có thiết kế rất hiện đại.,This house has a very modern design.
yếu tố,element,Yếu tố này rất quan trọng trong bài thuyết trình.,This element is very important in the presentation.
nhấn,hit,Bạn chỉ cần nhấn nút để bắt đầu.,You just need to hit the button to start.
sinh viên,student,Sinh viên cần chăm chỉ học tập để thành công.,Students need to study hard to succeed.
góc,corner,Có một cửa hàng ở góc phố này.,There is a store at the corner of this street.
bên,party,Chúng ta sẽ tham gia bên sinh nhật của cô ấy.,We will attend her birthday party.
cung cấp,supply,Công ty này cung cấp hàng hóa cho thị trường.,This company supplies goods to the market.
có,whose,Cô ấy là người có chiếc xe đẹp.,She is the one whose car is beautiful.
xác định vị trí,locate,Chúng tôi cần xác định vị trí của ngôi nhà.,We need to locate the house.
vòng,ring,Cô ấy đeo một chiếc vòng vàng trên tay.,She wore a gold ring on her hand.
nhân vật,character,Nhân vật chính trong phim rất thú vị.,The main character in the movie is very interesting.
côn trùng,insect,Côn trùng thường sống trong cây cối.,Insects often live in trees.
bắt,caught,Tôi đã bắt được con cá lớn hôm qua.,I caught a big fish yesterday.
thời gian,period,Thời gian học tập rất quan trọng.,The study period is very important.
chỉ ra,indicate,Bảng chỉ ra đường đi đến trường.,The sign indicates the way to school.
radio,radio,Tôi thích nghe nhạc trên radio.,I enjoy listening to music on the radio.
nói,spoke,Anh ấy đã nói chuyện với tôi sáng nay.,He spoke to me this morning.
nguyên tử,atom,Nguyên tử là đơn vị cơ bản của vật chất.,An atom is the basic unit of matter.
con người,human,Con người cần bảo vệ môi trường.,Humans need to protect the environment.
lịch sử,history,Lịch sử Việt Nam rất phong phú.,Vietnam's history is very rich.
hiệu lực,effect,Luật này có hiệu lực từ tháng sau.,This law will take effect next month.
điện,electric,Chiếc xe này chạy bằng điện.,This car runs on electric power.
mong đợi,expect,Tôi mong đợi gặp bạn vào cuối tuần.,I expect to see you this weekend.
xương,bone,Con chó đã nhai xương rất vui vẻ.,The dog happily chewed the bone.
đường sắt,rail,Đường sắt nối liền các thành phố lớn.,The rail connects major cities.
tưởng tượng,imagine,Hãy tưởng tượng một thế giới không chiến tranh.,Imagine a world without war.
cho,provide,Chúng tôi sẽ cho bạn thông tin cần thiết.,We will provide you with the necessary information.
đồng ý,agree,Tôi đồng ý với ý kiến của bạn.,I agree with your opinion.
do đó,thus,"Trời mưa, do đó chúng ta ở lại nhà.","It is raining, thus we stay at home."
nhẹ nhàng,gentle,Hãy nhẹ nhàng khi chăm sóc động vật.,Be gentle when caring for animals.
người phụ nữ,woman,Người phụ nữ ấy rất thông minh.,That woman is very intelligent.
đội trưởng,captain,Đội trưởng dẫn dắt đội bóng đến chiến thắng.,The captain led the team to victory.
đoán,guess,"Tôi không biết câu trả lời, tôi sẽ đoán.","I don't know the answer, I will guess."
cần thiết,necessary,Nước là thứ cần thiết cho sự sống.,Water is necessary for life.
sắc nét,sharp,Con dao này rất sắc nét và dễ sử dụng.,This knife is very sharp and easy to use.
cánh,wing,Chim bay cao với đôi cánh rộng lớn.,The bird flies high with its large wings.
tạo,create,Chúng ta cần tạo ra một kế hoạch tốt.,We need to create a good plan.
hàng xóm,neighbor,Hàng xóm của tôi rất thân thiện và hay giúp đỡ.,My neighbor is very friendly and helpful.
rửa,wash,Tôi cần rửa tay trước khi ăn.,I need to wash my hands before eating.
bat,bat,"Đêm qua, tôi thấy một con dơi bay qua.","Last night, I saw a bat flying by."
thay,rather,Tôi muốn ăn pizza thay vì bánh mì.,I would rather eat pizza than bread.
đám đông,crowd,Đám đông đang chờ đợi để vào concert.,The crowd is waiting to enter the concert.
ngô,corn,Ngô được dùng để làm nhiều món ăn ngon.,Corn is used to make many delicious dishes.
so sánh,compare,Chúng ta nên so sánh giá cả trước khi mua.,We should compare prices before buying.
bài thơ,poem,Cô giáo đã dạy chúng tôi cách viết bài thơ.,The teacher taught us how to write a poem.
chuỗi,string,Tôi dùng một chuỗi để buộc túi lại.,I used a string to tie the bag.
chuông,bell,Chuông nhà thờ vang lên vào lúc 6 giờ.,The church bell rings at 6 o'clock.
phụ thuộc,depend,Chúng ta phụ thuộc vào nhau trong công việc này.,We depend on each other in this work.
thịt,meat,Thịt gà rất ngon khi nướng.,Chicken meat is very tasty when grilled.
chà,rub,Hãy chà tay vào nhau để giữ ấm.,Rub your hands together to keep warm.
ống,tube,Tôi cần một ống để hút nước.,I need a tube to drink water.
nổi tiếng,famous,Hà Nội nổi tiếng với phở và bánh mì.,Hanoi is famous for pho and banh mi.
đồng đô la,dollar,Giá một chiếc bánh là năm đô la.,The price of a cake is five dollars.
sông,stream,Đứa trẻ đang chơi gần dòng sông trong xanh.,The child is playing near the clear stream.
sợ hãi,fear,Nhiều người cảm thấy sợ hãi khi đi máy bay.,Many people feel fear when flying.
cảnh,sight,Cảnh hoàng hôn thật đẹp và lãng mạn.,The sunset sight is beautiful and romantic.
mỏng,thin,Chiếc bánh này rất mỏng và giòn.,This cookie is very thin and crispy.
tam giác,triangle,Hình tam giác có ba cạnh và ba góc.,A triangle has three sides and three angles.
hành tinh,planet,Trái đất là hành tinh duy nhất có sự sống.,Earth is the only planet known to support life.
nhanh,hurry,Tôi cần phải nhanh chóng hoàn thành bài tập.,I need to hurry to finish my homework.
trưởng,chief,Ông ấy là trưởng nhóm trong dự án này.,He is the chief of the project team.
thuộc địa,colony,Nhiều quốc gia từng có thuộc địa ở châu Phi.,Many countries once had colonies in Africa.
đồng hồ,clock,Đồng hồ trên tường đang điểm 3 giờ.,The clock on the wall shows three o'clock.
tôi,mine,Cái bút này là của tôi.,This pen is mine.
cà vạt,tie,Anh ấy luôn đeo cà vạt khi đi làm.,He always wears a tie to work.
nhập,enter,Bạn cần nhập mật khẩu để vào máy tính.,You need to enter a password to access the computer.
chính,major,Anh ấy học ngành chính là kinh tế.,He is majoring in economics.
tươi,fresh,Rau quả tươi rất tốt cho sức khỏe.,Fresh fruits and vegetables are good for health.
tìm kiếm,search,Tôi đang tìm kiếm thông tin trên internet.,I am searching for information on the internet.
gửi,send,Tôi sẽ gửi email cho bạn vào chiều nay.,I will send you an email this afternoon.
vàng,yellow,Màu vàng thường tượng trưng cho sự vui vẻ.,The color yellow often symbolizes joy.
súng,gun,Anh ấy có một khẩu súng trong tủ đồ.,He has a gun in the closet.
cho phép,allow,Cha mẹ không cho phép tôi đi chơi muộn.,My parents do not allow me to go out late.
in,print,Tôi cần in tài liệu này cho cuộc họp.,I need to print this document for the meeting.
chết,dead,Cây cối trong vườn đã chết vì hạn hán.,The plants in the garden are dead due to drought.
tại chỗ,spot,Tôi tìm thấy chiếc ví tại chỗ anh ấy ngồi.,I found the wallet at the spot where he sat.
sa mạc,desert,Sa mạc là nơi có rất ít nước.,A desert is a place with very little water.
phù hợp với,suit,Chiếc váy này rất phù hợp với bạn.,This dress really suits you.
hiện tại,current,Tình hình hiện tại rất khó khăn.,The current situation is very difficult.
thang máy,lift,Chúng ta có thể sử dụng thang máy để lên tầng trên.,We can use the lift to go to the upper floor.
tăng,rose,Giá xăng đã tăng lên trong tháng này.,The price of gasoline has rose this month.
đến,arrive,Chúng tôi sẽ đến nhà bạn lúc 7 giờ tối.,We will arrive at your house at 7 PM.
chủ,master,Chủ của tôi rất tốt bụng và hiểu biết.,My master is very kind and understanding.
theo dõi,track,Tôi sẽ theo dõi tiến trình của dự án này.,I will track the progress of this project.
mẹ,parent,Mẹ tôi luôn ủng hộ tôi trong mọi quyết định.,My parent always supports me in every decision.
bờ,shore,Chúng tôi đã đi dạo trên bờ biển vào buổi chiều.,We walked along the shore in the afternoon.
phân chia,division,Phân chia công việc là rất quan trọng trong nhóm.,Division of tasks is very important in the team.
tờ,sheet,Tôi cần một tờ giấy để ghi chú.,I need a sheet of paper to take notes.
chất,substance,Nước là chất cần thiết cho sự sống.,Water is a substance essential for life.
ủng hộ,favor,Bạn có thể ủng hộ tôi trong cuộc thi này không?,Can you favor me in this competition?
kết nối,connect,Chúng ta cần kết nối điện thoại với máy tính.,We need to connect the phone to the computer.
bài,post,Tôi đã viết một bài mới trên blog của mình.,I wrote a new post on my blog.
chi tiêu,spend,Tôi không muốn chi tiêu nhiều tiền cho đồ ăn.,I don't want to spend too much money on food.
hợp âm,chord,Hợp âm này rất dễ chơi trên guitar.,This chord is easy to play on the guitar.
chất béo,fat,Chất béo là một phần quan trọng trong chế độ ăn uống.,Fat is an important part of the diet.
vui,glad,Tôi rất vui khi gặp lại bạn sau nhiều năm.,I am very glad to see you again after many years.
ban đầu,original,Bản gốc của bức tranh rất đẹp.,The original of the painting is very beautiful.
chia sẻ,share,Chúng ta nên chia sẻ tài liệu này với nhau.,We should share this document with each other.
trạm,station,Trạm xe buýt ở gần đây rất tiện lợi.,The bus station nearby is very convenient.
cha,dad,Cha tôi rất thích đi câu cá vào cuối tuần.,My dad loves to go fishing on weekends.
bánh mì,bread,Bánh mì nóng hổi rất ngon vào bữa sáng.,Fresh bread is delicious for breakfast.
phí,charge,Có một khoản phí để tham gia sự kiện này.,There is a charge to attend this event.
thích hợp,proper,Bạn cần mặc đồ thích hợp khi đi phỏng vấn.,You need to wear proper clothes for the interview.
thanh,bar,Tôi đã đặt một thanh socola cho bữa ăn nhẹ.,I ordered a chocolate bar for a snack.
phục vụ,offer,Nhà hàng này phục vụ món ăn rất ngon.,This restaurant offers very delicious dishes.
phân khúc,segment,Chúng ta cần phân khúc thị trường để tiếp thị hiệu quả.,We need to segment the market for effective marketing.
nô lệ,slave,Lịch sử đã từng có nhiều nô lệ khổ cực.,History has seen many suffering slaves.
vịt,duck,Con vịt bơi lội trong ao rất vui.,The duck swims happily in the pond.
ngay lập tức,instant,Tôi cần câu trả lời ngay lập tức.,I need an answer instantly.
thị trường,market,Thị trường đang có nhiều cơ hội mới.,The market is full of new opportunities.
mức độ,degree,Mức độ khó của bài kiểm tra là cao.,The degree of difficulty of the exam is high.
cư,populate,Người dân bắt đầu cư trú ở khu vực này.,People are starting to populate this area.
gà,chick,Chúng tôi nuôi gà con trong vườn.,We are raising chicks in the garden.
thân yêu,dear,"Thân yêu, em đã về đến nhà chưa?","Dear, have you arrived home yet?"
kẻ thù,enemy,Kẻ thù của chúng ta đang tiến gần.,Our enemy is getting closer.
trả lời,reply,Xin hãy trả lời câu hỏi của tôi.,Please reply to my question.
ly,drink,Tôi muốn một ly nước lạnh.,I want a cold drink.
xảy ra,occur,Tai nạn xảy ra bất ngờ trên đường.,An accident occurred unexpectedly on the road.
hỗ trợ,support,Chúng tôi cần hỗ trợ từ bạn bè.,We need support from friends.
bài phát biểu,speech,Ông ấy đã có một bài phát biểu tuyệt vời.,He gave a wonderful speech.
thiên nhiên,nature,Chúng ta nên bảo vệ thiên nhiên quanh ta.,We should protect the nature around us.
phạm vi,range,Phạm vi của dự án rất rộng lớn.,The range of the project is very vast.
hơi nước,steam,Hơi nước bốc lên từ nồi cơm.,Steam rises from the rice pot.
chuyển động,motion,Chiếc xe đang chuyển động nhanh trên đường.,The car is in motion on the road.
con đường,path,Con đường này dẫn đến ngôi làng nhỏ.,This path leads to the small village.
chất lỏng,liquid,Nước là một chất lỏng cần thiết cho sự sống.,Water is a liquid essential for life.
đăng nhập,log,Bạn cần đăng nhập để truy cập vào tài khoản.,You need to log in to access your account.
có nghĩa là,meant,Từ đó có nghĩa là 'hạnh phúc'.,That word meant 'happy'.
thương,quotient,"Trong toán học, thương là kết quả của phép chia.","In mathematics, the quotient is the result of division."
răng,teeth,Tôi cần đi khám răng vì răng tôi đau.,I need to see a dentist because my teeth hurt.
vỏ,shell,Con sò có một lớp vỏ đẹp.,The shell of the clam is beautiful.
cổ,neck,Cô ấy đeo một chiếc vòng cổ xinh đẹp.,She wears a beautiful necklace around her neck.
oxy,oxygen,Cây xanh tạo ra oxy cho chúng ta hít thở.,Plants produce oxygen for us to breathe.
đường,sugar,Tôi thích thêm đường vào cà phê của mình.,I like to add sugar to my coffee.
chết,death,Chết là một phần tự nhiên của cuộc sống.,Death is a natural part of life.
khá,pretty,Cô ấy có một nụ cười khá dễ thương.,She has a pretty cute smile.
kỹ năng,skill,Kỹ năng giao tiếp rất quan trọng trong công việc.,Communication skill is very important in work.
phụ nữ,women,Phụ nữ có nhiều vai trò trong xã hội hiện đại.,Women have many roles in modern society.
mùa,season,Mùa hè là thời gian để đi biển.,The summer season is time to go to the beach.
giải pháp,solution,Chúng ta cần tìm giải pháp cho vấn đề này.,We need to find a solution to this problem.
nam châm,magnet,Nam châm hút các vật kim loại.,A magnet attracts metal objects.
bạc,silver,Chiếc nhẫn này được làm bằng bạc rất đẹp.,This ring is made of beautiful silver.
cảm ơn,thank,Tôi muốn cảm ơn bạn vì sự giúp đỡ.,I want to thank you for your help.
chi nhánh,branch,Ngân hàng có nhiều chi nhánh trong thành phố.,The bank has many branches in the city.
trận đấu,match,Trận đấu bóng đá diễn ra vào tối nay.,The football match takes place tonight.
hậu tố,suffix,Hậu tố 'ing' được sử dụng cho động từ.,The suffix 'ing' is used for verbs.
đặc biệt là,especially,"Tôi thích trái cây, đặc biệt là dưa hấu.","I like fruits, especially watermelon."
sung,fig,Quả sung rất ngọt và bổ dưỡng.,The fig fruit is very sweet and nutritious.
sợ,afraid,Tôi sợ bóng tối khi đi ngủ.,I am afraid of the dark when I sleep.
to,huge,Căn nhà này thật to so với những căn khác.,This house is huge compared to the others.
em gái,sister,Em gái tôi thích đọc sách mỗi ngày.,My sister likes to read books every day.
thép,steel,Cây cầu này được làm bằng thép rất chắc chắn.,This bridge is made of strong steel.
thảo luận,discuss,Chúng ta sẽ thảo luận về kế hoạch mới.,We will discuss the new plan.
về phía trước,forward,Hãy tiến về phía trước và không quay lại.,Move forward and do not look back.
tương tự,similar,Cả hai bức tranh đều tương tự nhau.,Both paintings are similar to each other.
hướng dẫn,guide,Hãy để tôi hướng dẫn bạn cách làm món này.,Let me guide you on how to make this dish.
kinh nghiệm,experience,Kinh nghiệm làm việc giúp tôi phát triển hơn.,Work experience helps me grow more.
điểm,score,Tôi đã đạt được điểm cao trong kỳ thi.,I scored high on the exam.
táo,apple,Tôi thích ăn táo mỗi ngày.,I like to eat an apple every day.
mua,bought,"Hôm qua, tôi đã mua một chiếc xe mới.","Yesterday, I bought a new car."
dẫn,led,Cô ấy đã dẫn dắt nhóm đến chiến thắng.,She led the team to victory.
sân,pitch,Chúng tôi chơi bóng đá trên sân cỏ.,We play soccer on the pitch.
áo,coat,"Mùa đông này, tôi cần một chiếc áo ấm.","This winter, I need a warm coat."
khối lượng,mass,Khối lượng của vật thể này là ba kilogam.,The mass of this object is three kilograms.
thẻ,card,Tôi đã nhận được thẻ sinh nhật từ bạn bè.,I received a birthday card from my friends.
ban nhạc,band,Ban nhạc này biểu diễn rất hay.,This band performs very well.
dây,rope,Chúng ta cần một sợi dây để buộc hàng.,We need a rope to tie the goods.
trượt,slip,"Cẩn thận, bạn có thể trượt trên mặt đất ướt.","Be careful, you might slip on the wet floor."
giành chiến thắng,win,Chúng tôi đã giành chiến thắng trong trận đấu cuối cùng.,We won the last game.
mơ,dream,Tôi thường mơ về một thế giới tốt đẹp hơn.,I often dream of a better world.
buổi tối,evening,Chúng ta sẽ gặp nhau vào buổi tối.,We will meet in the evening.
điều kiện,condition,Điều kiện thời tiết hôm nay rất đẹp.,The weather condition today is very nice.
thức ăn chăn nuôi,feed,Chúng tôi cần mua thức ăn chăn nuôi cho gà.,We need to buy feed for the chickens.
công cụ,tool,Công cụ này giúp tôi sửa chữa xe.,This tool helps me fix the car.
tổng số,total,Tổng số tiền tôi cần trả là một triệu đồng.,The total amount I need to pay is one million dong.
cơ bản,basic,Biết đọc và viết là kỹ năng cơ bản.,Knowing how to read and write is a basic skill.
mùi,smell,Mùi hoa hồng thật dễ chịu.,The smell of roses is very pleasant.
thung lũng,valley,Thung lũng này rất đẹp vào mùa xuân.,This valley is beautiful in spring.
cũng không,nor,"Tôi cũng không thích cà phê, mà trà cũng không.","I do not like coffee, nor do I like tea."
đôi,double,Tôi đã đặt một đôi giày mới.,I ordered a double pair of shoes.
ghế,seat,Xin vui lòng ngồi ở ghế này.,Please sit in this seat.
tiếp tục,continue,Chúng ta hãy tiếp tục làm việc cho đến khi hoàn thành.,Let’s continue working until we finish.
khối,block,Tôi đã xây một khối tường bằng gạch.,I built a block wall with bricks.
biểu đồ,chart,Biểu đồ này cho thấy doanh thu hàng tháng.,This chart shows the monthly revenue.
mũ,hat,Cô ấy đội một chiếc mũ đỏ rất đẹp.,She is wearing a beautiful red hat.
bán,sell,Họ quyết định bán căn nhà của mình.,They decided to sell their house.
thành công,success,Thành công đến từ sự nỗ lực không ngừng.,Success comes from continuous effort.
công ty,company,Công ty của tôi chuyên sản xuất phần mềm.,My company specializes in software development.
trừ,subtract,Bạn cần trừ 5 khỏi số tổng.,You need to subtract 5 from the total.
sự kiện,event,Sự kiện này sẽ diễn ra vào cuối tuần.,This event will take place on the weekend.
riêng,particular,Mỗi người có một sở thích riêng.,Everyone has a particular interest.
thỏa thuận,deal,Chúng tôi đã có một thỏa thuận tốt với đối tác.,We made a good deal with the partner.
bơi,swim,Trẻ em thích bơi trong hồ vào mùa hè.,Children love to swim in the lake in summer.
hạn,term,Hợp đồng này có hạn 3 năm.,This contract has a term of three years.
ngược lại,opposite,Họ có quan điểm ngược lại về vấn đề này.,They have the opposite views on this issue.
vợ,wife,Tôi yêu vợ tôi rất nhiều.,I love my wife very much.
giày,shoe,Cô ấy mua một đôi giày mới.,She bought a new pair of shoes.
vai,shoulder,Anh ấy bị đau ở vai do làm việc nặng.,He has shoulder pain from heavy work.
lây lan,spread,Bệnh cảm cúm có thể lây lan nhanh chóng.,The flu can spread rapidly.
sắp xếp,arrange,Chúng ta cần sắp xếp lại đồ đạc trong phòng.,We need to arrange the furniture in the room.
trại,camp,Chúng tôi sẽ đi trại vào cuối tuần này.,We will go camping this weekend.
phát minh,invent,Ông ấy đã phát minh ra một máy móc mới.,He invented a new machine.
bông,cotton,Áo này được làm từ bông tự nhiên.,This shirt is made of natural cotton.
Sinh,born,Cô ấy sinh ra vào ngày 1 tháng 5.,She was born on May 1st.
xác định,determine,Chúng ta cần xác định mục tiêu rõ ràng.,We need to determine clear goals.
lít,quart,Một lít nước tương đương với khoảng một quart.,One liter of water is about one quart.
chín,nine,Có chín người tham gia cuộc thi này.,There are nine people participating in this contest.
xe tải,truck,Xe tải chở hàng nặng đến cửa hàng.,The truck carries heavy goods to the shop.
tiếng ồn,noise,Tiếng ồn từ đường phố làm tôi khó ngủ.,The noise from the street makes it hard for me to sleep.
mức,level,Mức nước trong hồ đang dần giảm.,The water level in the lake is gradually decreasing.
cơ hội,chance,Tôi đã có cơ hội gặp gỡ nhiều người thú vị.,I had the chance to meet many interesting people.
thu thập,gather,Chúng tôi cần thu thập thông tin cho dự án.,We need to gather information for the project.
cửa hàng,shop,Cửa hàng gần nhà tôi bán nhiều đồ đẹp.,The shop near my house sells many beautiful items.
căng ra,stretch,Bạn nên căng ra cơ bắp trước khi tập thể dục.,You should stretch your muscles before exercising.
ném,throw,Cô ấy ném bóng cho bạn trai mình.,She throws the ball to her boyfriend.
tỏa sáng,shine,Mặt trời tỏa sáng trên bầu trời xanh.,The sun shines in the blue sky.
tài sản,property,Họ đã mua tài sản mới ở thành phố.,They bought new property in the city.
cột,column,Cột nhà cần được sửa chữa ngay.,The column of the house needs to be repaired immediately.
phân tử,molecule,Mỗi phân tử nước gồm hai nguyên tử hydro.,Each water molecule consists of two hydrogen atoms.
chọn,select,Bạn cần chọn một cuốn sách để đọc.,You need to select a book to read.
sai,wrong,Điều đó là sai và cần được sửa chữa.,That is wrong and needs to be corrected.
màu xám,gray,Bức tranh có màu xám và trắng rất đẹp.,The painting in gray and white is very beautiful.
lặp lại,repeat,Xin vui lòng lặp lại câu hỏi của bạn.,Please repeat your question.
yêu cầu,require,Công việc này yêu cầu kiến thức chuyên môn.,This job requires specialized knowledge.
rộng,broad,Con đường này rất rộng và thoáng đãng.,This road is very broad and spacious.
chuẩn bị,prepare,Chúng ta cần chuẩn bị cho buổi tiệc sắp tới.,We need to prepare for the upcoming party.
muối,salt,Đừng quên thêm muối vào món ăn.,Don't forget to add salt to the dish.
mui,nose,Cô ấy có một cái mũi rất đẹp.,She has a very beautiful nose.
số nhiều,plural,"Trong tiếng Việt, số nhiều thường được biểu thị bằng từ 'nhiều'.","In Vietnamese, the plural is often indicated by the word 'nhiều'."
tức giận,anger,Tức giận chỉ làm mọi việc trở nên tồi tệ hơn.,Anger only makes things worse.
xin,claim,Họ xin quyền sở hữu đối với tài sản này.,They claim ownership of this property.
lục,continent,Châu Á là lục địa lớn nhất trên thế giới.,Asia is the largest continent in the world.
